"","2.5 %","97.5 %"
"(Intercept)",-1768361.07581087,3120040.67700539
"p6800_num",16467.3467190485,21793.5020788637
"p6850_num",-2413.59240860124,2229.39533656712
"rama2d_r401",-2947872.24797633,1940085.67647199
"rama2d_r402",-2440765.78322116,2560827.56052452
"rama2d_r403",-3264992.90919645,1647503.88144482
"rama2d_r405",-1164310.1544172,3787879.61303341
"rama2d_r406",1180769.5196149,6143880.97711776
"rama2d_r407",-3061240.56662169,1864146.43393456
"rama2d_r408",-3128234.67276673,1844832.3000791
"rama2d_r409",-328195.878425119,4702839.85198653
"rama2d_r410",-2415730.26283099,2477333.20995704
"rama2d_r411",-2139356.9457884,2794567.27003916
"rama2d_r412",-2111730.69215137,4352563.43742835
"rama2d_r413",-2571626.68833618,2379411.80982004
"rama2d_r414",-2764265.58342667,2131061.65321696
"rama2d_r415",-3086220.95805877,1819816.35380542
"rama2d_r416",-3208260.27366975,1738070.33806096
"rama2d_r417",-1128096.34295651,3856525.64003569
"rama2d_r418",-2594022.126831,2394704.45661267
"rama2d_r419",-1635934.32156915,3604302.79645064
"rama2d_r420",-1490866.42968501,3446327.96661307
"rama2d_r421",-987805.031053231,3996821.58575453
"rama2d_r422",-1955979.20453523,2980179.55199859
"rama2d_r423",-2137462.79045388,2786346.66399412
"rama2d_r424",-2281071.6345411,2749939.30931007
"rama2d_r425",-2532616.70014012,2369191.82334567
"rama2d_r426",-2466553.68407072,3046212.68172723
"rama2d_r427",-2298154.12783397,2703386.2231347
"rama2d_r428",-1813629.86316338,3262143.23713313
"rama2d_r429",-1848821.11973572,3182189.48292832
"rama2d_r430",-2154090.50517386,3017350.82161315
"rama2d_r431",-2632375.3948499,2269950.7189497
"rama2d_r432",-2759366.61199242,2163766.67506666
"rama2d_r433",-2086636.25159283,2838750.77373642
"rama2d_r435",-1071286.16176208,3840220.77771279
"rama2d_r436",-1887799.72653098,3040455.65953828
"rama2d_r437",-3009886.30929223,3901019.18728997
"rama2d_r438",-3007864.18927279,1895231.53488718
"rama2d_r439",-2385140.92330011,4079162.7632264
"rama2d_r441",-2729630.8087326,2159506.00961925
"rama2d_r442",-1726591.03149618,3172958.99278881
"rama2d_r443",-2594433.53581396,2301094.6932647
"rama2d_r445",-2492415.17905893,2398836.13470001
"rama2d_r446",-1892922.2746344,2999477.25724598
"rama2d_r447",-2705395.48576735,2182083.86426455
"rama2d_r449",-2870706.07274218,2017834.3173553
"rama2d_r450",-2321509.82464589,2687738.23496467
"rama2d_r451",76354.9864391605,5083601.02934101
"rama2d_r452",-2608159.72044646,2289367.86452868
"rama2d_r453",-2686587.48577304,2214538.08472511
"rama2d_r455",-2354026.35351046,2544621.57382574
"rama2d_r456",-2849242.26061117,2039176.37768088
"rama2d_r458",656379.616386957,5674443.27541687
"rama2d_r459",-1087210.19791326,3970866.84050564
"rama2d_r460",-19338.058630669,4989904.00895345
"rama2d_r461",-1816687.09694046,3095878.30150832
"rama2d_r462",725913.538617913,5639453.06743189
"rama2d_r463",-1737999.65525562,3471092.07208
"rama2d_r464",-1277653.68502096,3621727.80132704
"rama2d_r465",-936205.609938455,3979589.78652125
"rama2d_r466",-65705.4418209479,5051846.98147953
"rama2d_r468",-2201764.13207496,2695490.18631292
"rama2d_r469",-959452.568972927,3939091.72281322
"rama2d_r470",-112838.828341386,4819620.95420002
"rama2d_r471",-810999.214978843,4098204.03308705
"rama2d_r472",-942682.003652862,4148999.7912084
"rama2d_r473",-1344695.66715448,3573903.89288389
"rama2d_r474",-1104151.21365533,3811454.72670559
"rama2d_r475",-2215641.71114354,2771678.37282683
"rama2d_r477",-2317401.10529444,2630364.99124573
"rama2d_r478",-1182275.98872626,3809369.58329329
"rama2d_r479",-2048388.69344808,2910203.1589179
"rama2d_r480",-2264436.35472932,2641780.17674787
"rama2d_r481",-3097989.31822171,1793072.82721238
"rama2d_r482",-2155591.62210758,2749358.05811642
"rama2d_r484",-321699.869922942,4567593.70440947
"rama2d_r485",-622785.091682013,4266081.92718386
"rama2d_r486",-1175084.06588918,3714502.94331647
"rama2d_r487",-2660150.71072958,2333050.54180248
"rama2d_r488",-2581002.30650852,2322915.2741948
"rama2d_r490",-2443215.93236297,2495611.36561875
"rama2d_r491",-1719422.08764756,3463552.35761284
"rama2d_r492",-2916165.56130041,1998498.89221395
"rama2d_r493",-2173498.16004898,2744425.03612106
"rama2d_r494",-1599680.21665368,3303430.31840051
"rama2d_r495",-3068082.04854423,1828338.51186717
"rama2d_r496",-2879480.46772842,2011730.04262344
"rama2d_r497",-3009289.92060857,1881174.65617139
"rama2d_r499",1881343.88271629,7206412.61724596
